#num-states,num-transitions,type-size,probability-indeterminate,subset,overlap,non-trivial-overlap
3,3,2,0.3687558494262288,true,:dont-know,:dont-know
3,3,2,0.3997295391398077,true,false,false
3,3,2,0.4041083376093085,true,:dont-know,:dont-know
3,3,2,0.4604901275657838,true,:dont-know,:dont-know
3,3,3,0.04200509524288457,true,true,true
3,3,3,0.3269414400605141,true,true,true
3,3,3,0.3392936172190823,true,:dont-know,:dont-know
3,3,4,0.10441069550823807,true,false,false
3,3,4,0.1170350733253643,true,false,false
3,3,4,0.2526185813949518,true,true,true
3,3,4,0.34216251427414335,true,:dont-know,:dont-know
3,3,4,0.49778792974219943,true,false,false
3,3,4,0.5985686135260294,true,false,false
3,4,2,0.11418794896137989,true,false,false
3,4,2,0.11605105024618978,true,:dont-know,:dont-know
3,4,2,0.13870778236117554,false,true,true
3,4,2,0.18844634912608407,true,false,false
3,4,2,0.19345804773218145,false,true,true
3,4,2,0.27579085783838925,true,true,true
3,4,2,0.29858025007279115,:dont-know,false,false
3,4,2,0.31503332860758676,true,false,false
3,4,2,0.3801230771325015,:dont-know,:dont-know,:dont-know
3,4,2,0.39750041129475716,true,true,true
3,4,2,0.39866630021675925,true,:dont-know,:dont-know
3,4,2,0.4635752832427307,true,false,false
3,4,2,0.46947276979618513,:dont-know,:dont-know,:dont-know
3,4,3,0.1472257759734921,true,true,true
3,4,3,0.27035788629508933,:dont-know,:dont-know,:dont-know
3,4,3,0.3530523998549458,:dont-know,:dont-know,:dont-know
3,4,3,0.36873343246622614,:dont-know,:dont-know,:dont-know
3,4,3,0.4629091068563212,true,:dont-know,:dont-know
3,4,3,0.4988975856710747,true,false,false
3,4,3,0.5824472976756988,true,:dont-know,:dont-know
3,4,3,0.5986679417467863,true,false,false
3,4,4,0.1151998003154674,false,true,true
3,4,4,0.1241644284830945,true,true,true
3,4,4,0.13333327055484911,true,true,true
3,4,4,0.29553219615229115,true,true,true
3,4,4,0.3412644671141211,true,false,false
3,4,4,0.36695620293502623,true,:dont-know,:dont-know
3,4,4,0.38508953858965517,true,true,true
3,4,4,0.4207996040889912,true,:dont-know,:dont-know
3,4,4,0.4613370304276361,true,false,false
3,4,4,0.4774751555223908,true,false,false
3,4,4,0.523028984156105,true,false,false
3,4,4,0.5770839301879137,true,:dont-know,:dont-know
3,5,2,0.19066151128067252,:dont-know,:dont-know,:dont-know
3,5,2,0.2167299363932225,true,true,true
3,5,2,0.2247500057422653,true,false,false
3,5,2,0.22775162258750944,false,false,false
3,5,2,0.2554412875379049,true,false,false
3,5,2,0.2908792636587782,:dont-know,:dont-know,:dont-know
3,5,2,0.29841316060132966,:dont-know,true,true
3,5,2,0.3139847140096306,true,false,false
3,5,2,0.3159545053898655,true,true,true
