# requested-depth, actual-depth, actual-leaf-count, max-balance, mean-balance, sigma-balance, minimized-depth, minimized-leaf-count, actual-state-count, minimized-state-count, minimized-rte
4, 10, 23, 7, 1.7407408, 2.118570317937051, 0, 1, 2, 2, :empty-set
4, 10, 23, 7, 1.7826087, 2.186053059126354, 1, 2, 3, 3, :other
4, 10, 23, 8, 1.3928572, 2.1931595882634345, 0, 1, 2, 2, :empty-set
4, 10, 23, 8, 1.4827586, 1.958547837401783, 12, 499, 13, 12, :other
4, 10, 23, 8, 1.5384616, 2.1345287577710166, 2, 10, 3, 3, :other
4, 10, 23, 8, 1.5555556, 2.199887763691481, 1, 2, 3, 3, :other
4, 10, 23, 8, 1.5714285, 2.1285234893930487, 0, 1, 2, 2, :empty-set
4, 10, 23, 8, 1.6551725, 2.021877960588834, 2, 3, 4, 4, :other
4, 10, 23, 8, 1.6785715, 2.1222220738207973, 0, 1, 2, 2, :empty-set
4, 10, 23, 8, 1.7142857, 1.9059520091609048, 1, 2, 3, 3, :other
4, 10, 23, 8, 1.72, 2.088444397153058, 0, 1, 2, 2, :empty-set
4, 10, 23, 8, 1.9230769, 2.1289773081689307, 0, 1, 2, 2, :empty-set
4, 10, 23, 9, 1.2666667, 2.0483055327649624, 4, 23, 6, 6, :other
4, 10, 23, 9, 1.4642857, 2.008591241519838, 0, 1, 3, 3, :other
4, 10, 23, 9, 1.5714285, 2.0946968998021687, 0, 1, 3, 3, :other
4, 10, 23, 9, 1.6538461, 2.2350754193488673, 5, 7, 5, 5, :other
4, 10, 23, 9, 1.6666666, 2.0367003088692623, 0, 1, 2, 2, :empty-set
4, 10, 23, 9, 1.8888888, 2.1659542988464366, 0, 1, 2, 2, :empty-set
4, 10, 24, 4, 1.7241379, 1.551340948855447, 0, 1, 2, 2, :empty-set
4, 10, 24, 5, 1.4827586, 1.6942232409018272, 0, 1, 2, 2, :empty-set
4, 10, 24, 5, 1.5, 1.4776106839534333, 8, 75, 6, 6, :other
4, 10, 24, 5, 1.5714285, 1.6567733578204573, 0, 1, 3, 3, :other
4, 10, 24, 6, 1.3666667, 1.6224124698183942, 7, 54, 11, 10, :other
4, 10, 24, 6, 1.4444444, 1.9499920860871383, 0, 1, 2, 2, :empty-set
4, 10, 24, 6, 1.4482758, 1.7137618813502313, 0, 1, 2, 2, :empty-set
4, 10, 24, 6, 1.451613, 1.7196907013241085, 3, 8, 4, 4, :other
4, 10, 24, 6, 1.5, 1.742330131092924, 11, 1259, 23, 19, :other
4, 10, 24, 6, 1.5357143, 1.762347113067904, 5, 15, 5, 5, :other
4, 10, 24, 6, 1.5517242, 1.7337662193071084, 0, 1, 4, 3, :other
4, 10, 24, 6, 1.7037038, 1.8219813149998287, 13, 397, 7, 7, :other
4, 10, 24, 6, 1.7307693, 2.0106962496319585, 7, 43, 8, 8, :other
4, 10, 24, 6, 1.826087, 2.0141277951131253, 0, 1, 2, 2, :empty-set
4, 10, 24, 6, 1.9583334, 1.767275838370708, 0, 1, 2, 2, :empty-set
4, 10, 24, 6, 2.04, 1.9693653800145874, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.4444444, 2.1140330656044943, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.4666667, 1.892675942210452, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.4666667, 1.9618585292749549, 2, 2, 3, 3, :other
4, 10, 24, 7, 1.5, 1.9179602260139361, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.5357143, 1.7824971019239686, 4, 9, 5, 5, :other
4, 10, 24, 7, 1.5769231, 2.0033256374008337, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.5925926, 1.929483892982386, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.6153846, 1.9230769230769231, 8, 47, 10, 10, :other
4, 10, 24, 7, 1.7307693, 1.8513548533167292, 0, 1, 2, 2, :empty-set
4, 10, 24, 7, 1.9354838, 2.213382812697864, 0, 1, 2, 2, :empty-set
4, 10, 24, 8, 1.3225807, 1.6922421998198713, 7, 71, 6, 6, :other
4, 10, 24, 8, 1.3448275, 2.021877960588834, 5, 6, 4, 4, :other
4, 10, 24, 8, 1.4, 1.9933221850301404, 0, 1, 2, 2, :empty-set
4, 10, 24, 8, 1.4285715, 2.060315014550851, 1, 2, 3, 3, :other
4, 10, 24, 8, 1.4444444, 2.006163342807532, 0, 1, 2, 2, :empty-set
4, 10, 24, 8, 1.5357143, 2.0438434182606424, 0, 1, 3, 3, :other
4, 10, 24, 8, 1.7692307, 2.0626288735064495, 5, 12, 5, 5, :other
4, 10, 24, 8, 1.7692307, 2.241354197589764, 0, 1, 2, 2, :empty-set
4, 10, 24, 8, 1.7692307, 2.292256065500206, 0, 1, 2, 2, :empty-set
4, 10, 24, 8, 2.12, 2.320689552697646, 0, 1, 2, 2, :empty-set
4, 10, 24, 8, 2.1304348, 2.1326519075531687, 1, 3, 3, 3, :other
4, 10, 24, 9, 1.5172414, 2.1754221097362074, 0, 1, 2, 2, :empty-set
4, 10, 24, 9, 1.5185186, 2.1494249079328753, 5, 30, 7, 7, :other
4, 10, 24, 9, 1.6296296, 2.0931660964362653, 0, 1, 3, 3, :other
4, 10, 24, 9, 1.6333333, 1.8882678717691397, 0, 1, 2, 2, :empty-set
