110,64,5,7,4,7,4,11,60
111,57,3,4,3,4,5,16,10
111,58,2,2,2,2,4,18,4
111,60,2,2,1,2,2,13,5
111,60,6,9,4,9,3,13,87
111,62,2,2,1,2,3,13,2
111,64,3,4,3,4,3,10,69
112,61,6,17,6,17,5,12,7
112,63,2,2,1,2,3,13,3
112,63,3,4,3,4,4,13,28
112,63,4,5,4,5,3,12,81
113,59,6,8,6,8,4,11,12
113,60,5,8,5,8,4,14,13
113,64,2,2,1,2,3,11,1
113,64,2,2,1,2,4,11,1
113,64,6,11,6,11,2,14,165
114,61,14,37,12,37,4,12,161
114,63,3,4,3,4,2,12,12
114,66,3,4,3,4,3,14,7
114,68,7,15,7,15,4,10,105
115,64,3,3,2,3,4,12,9
115,65,7,10,7,10,4,9,206
115,66,8,13,7,13,3,15,38
115,71,2,2,1,2,3,8,2
116,62,3,3,2,3,5,14,9
116,63,6,10,6,10,3,10,20
116,66,3,4,3,4,3,11,18
116,68,2,2,1,2,3,13,3
116,69,3,3,2,3,5,12,60
117,60,3,3,3,3,4,10,50
117,62,4,6,4,6,3,14,10
117,65,46,299,7,299,5,11,1736
117,66,2,2,1,2,2,11,0
117,67,8,13,5,13,4,11,166
118,64,10,27,5,27,4,11,57
118,67,12,24,12,24,4,16,77
118,67,3,4,3,4,4,10,16
118,71,2,2,1,2,3,13,0
118,72,7,13,7,13,3,13,41
119,63,45,295,11,295,2,12,2501
119,65,2,2,1,2,3,13,1
119,66,3,4,3,4,2,12,5
119,67,2,2,1,2,4,12,3
119,68,8,16,8,16,4,11,43
119,69,2,2,1,2,3,13,5
119,70,14,33,7,33,4,13,413
120,63,2,2,1,2,5,12,2
120,64,3,4,3,4,2,13,3
120,66,4,6,4,6,3,11,3
120,68,4,5,2,5,5,12,117
120,69,4,5,4,5,4,14,14
121,62,5,7,4,7,3,13,145
122,65,3,3,2,3,4,10,5
122,69,38,248,4,248,4,12,434
122,72,6,9,5,9,3,13,8
122,74,3,3,2,3,3,14,39
123,65,6,10,5,10,3,17,18
123,67,10,18,10,18,3,13,113
123,67,11,18,4,18,3,13,342
123,68,3,3,2,3,4,12,42
123,68,5,7,5,7,4,16,26
123,70,3,4,3,4,2,16,221
123,72,18,53,12,53,4,14,318
123,73,3,3,3,3,4,11,125
124,66,26,129,6,129,4,9,169
124,68,5,10,5,10,4,11,97
124,70,2,2,1,2,3,9,17
124,70,3,3,3,3,4,12,143
124,70,4,6,4,6,3,10,33
125,70,3,3,3,3,3,11,3
125,71,2,2,2,2,5,12,0
125,75,2,2,1,2,3,10,1
125,75,3,3,2,3,5,12,146
125,75,3,4,3,4,3,12,17
126,69,4,6,4,6,3,12,5
126,70,2,2,2,2,3,13,0
126,72,8,14,8,14,4,13,91
126,76,5,9,4,9,4,9,38
127,66,3,3,2,3,4,13,30
127,66,3,3,2,3,4,14,24
127,69,2,2,1,2,3,12,1
127,69,4,6,4,6,3,12,106
127,70,21,96,18,96,5,9,297
127,76,123,1610,58,1610,4,13,29207
128,67,2,2,1,2,3,11,1
128,70,25,130,9,130,5,13,332
128,71,4,4,4,4,4,11,1
129,73,19,65,10,65,4,10,146
129,74,2,2,1,2,4,10,9
129,74,3,3,2,3,3,14,32
129,75,2,2,1,2,3,16,6
130,69,2,2,2,2,3,11,3
130,71,2,2,1,2,4,13,4
130,71,3,4,3,4,4,16,26
130,74,9,19,7,19,5,12,746
131,71,2,2,1,2,2,14,16
131,71,3,3,3,3,3,16,58
131,71,3,4,3,4,3,18,22
131,71,7,13,7,13,3,14,23
131,72,2,2,2,2,4,11,8
131,73,14,36,10,36,4,12,141
131,76,3,4,3,4,2,13,11
131,76,5,7,5,7,4,13,27
131,78,2,2,1,2,2,13,1
132,74,10,35,6,35,2,13,220
132,74,2,2,1,2,3,13,3
132,75,9,19,7,19,4,9,131
132,77,5,9,5,9,3,11,75
133,72,2,2,2,2,5,16,7
133,72,305,4898,137,4898,4,13,45624
133,77,2,2,1,2,3,11,31
134,73,5,7,5,7,5,15,154
134,74,2,2,1,2,3,15,5
134,74,2,2,1,2,4,12,1
134,76,4,5,4,5,3,13,36
134,77,2,2,1,2,3,13,3
134,77,4,7,4,7,3,18,42
134,79,2,2,1,2,3,13,1
135,69,18,117,5,117,4,12,621
135,74,17,58,13,58,3,11,191
135,76,2,2,1,2,3,10,0
135,77,2,2,1,2,4,11,16
