#num-states,num-transitions,type-size,probability-indeterminate,min-dfa-state-count,min-dfa-transitions-count,count-indeterminate-transitions,inhabited-dfa-language
14,25,3,0.6435706531114179,14,18,12,:indeterminate
14,25,4,0.1599579767731059,14,19,2,:satisfiable
14,26,4,0.28521830461987624,14,22,11,:satisfiable
14,26,4,0.4479404250580517,14,18,3,:satisfiable
14,27,2,0.30030213468547506,14,22,7,:indeterminate
14,27,3,0.21324668443246717,14,22,4,:satisfiable
14,27,4,0.02282074181523926,14,19,1,:satisfiable
14,27,4,0.25239941374192476,14,22,5,:indeterminate
14,27,4,0.39345286009484326,14,21,10,:indeterminate
14,28,2,0.43870175475238216,14,23,15,:indeterminate
14,28,2,0.4831342028039954,14,21,8,:indeterminate
14,28,3,0.4892335903897562,14,26,17,:indeterminate
14,28,3,0.6387305279395312,14,22,12,:indeterminate
14,28,4,0.36960440971561564,14,21,8,:indeterminate
14,28,4,0.48639932463074587,14,24,15,:indeterminate
14,28,4,0.5512370931845528,14,23,12,:indeterminate
14,29,3,0.25477952534418197,14,19,4,:satisfiable
14,30,2,0.3088994866657811,14,25,6,:satisfiable
14,30,3,0.2594094511622422,14,23,10,:satisfiable
14,30,4,0.11453424548762288,14,23,3,:satisfiable
14,30,4,0.25515271742793727,14,24,7,:satisfiable
14,31,4,0.6143857819086025,14,25,17,:indeterminate
14,32,2,0.08661879151539394,14,22,2,:satisfiable
14,32,2,0.48591716781763344,14,24,8,:indeterminate
14,32,3,0.11811309102576917,14,24,3,:satisfiable
14,32,3,0.3395200062590022,14,24,11,:indeterminate
14,32,3,0.44512336581967454,14,21,9,:indeterminate
14,32,4,0.17959065161125767,14,25,5,:satisfiable
14,32,4,0.2464946236733504,14,24,6,:satisfiable
14,33,2,0.27342931912018303,14,29,8,:satisfiable
14,33,3,0.1589177858003256,14,27,6,:satisfiable
14,33,4,0.29720598112370455,14,23,6,:satisfiable
14,34,3,0.11298148138483073,14,20,2,:satisfiable
14,34,3,0.23069440772300545,14,23,8,:indeterminate
14,34,4,0.22318218812478854,14,23,5,:indeterminate
14,35,2,0.4268299387077718,14,26,17,:indeterminate
14,35,3,0.15776813566418002,14,26,6,:satisfiable
14,35,4,0.36220015241199105,14,27,16,:indeterminate
14,36,2,0.3797315926326161,14,31,21,:indeterminate
14,36,3,0.21342187643236613,14,28,8,:satisfiable
14,36,4,0.23616052960297662,14,29,9,:satisfiable
14,36,4,0.47205163362962654,14,26,13,:satisfiable
14,39,3,0.3183756041415427,14,24,11,:indeterminate
15,16,4,0.13496171078658661,15,14,3,:indeterminate
15,16,4,0.34470387534687047,15,15,5,:indeterminate
15,17,2,0.15325987653762121,15,16,3,:indeterminate
15,17,2,0.5061679721966946,15,16,7,:indeterminate
15,18,2,0.2697354671435018,15,17,9,:indeterminate
15,20,3,0.21678010665485178,15,18,6,:indeterminate
15,21,2,0.38318805882305157,15,19,6,:indeterminate
15,21,2,0.4236343598408013,15,18,6,:satisfiable
15,21,4,0.3753680775931371,15,18,10,:indeterminate
15,22,2,0.42240727369020625,15,20,5,:indeterminate
15,22,2,0.5358406453573767,15,19,15,:indeterminate
15,22,3,0.5404488369676735,15,19,13,:indeterminate
15,23,2,0.3321574276064178,15,17,6,:indeterminate
15,23,4,0.6146753436715899,15,22,10,:indeterminate
15,24,2,0.24249857898092494,15,18,6,:indeterminate
15,24,2,0.35089376099249775,15,21,9,:indeterminate
15,26,2,0.2366153463969121,15,20,6,:indeterminate
15,26,3,0.4289274734592185,15,19,8,:indeterminate
15,26,4,0.2614947400764655,15,20,6,:indeterminate
15,26,4,0.4716254135973477,15,20,13,:indeterminate
15,26,4,0.5764507212919568,15,19,12,:indeterminate
15,27,2,0.21319983891949312,15,25,5,:indeterminate
15,27,2,0.2145076635164692,15,21,4,:satisfiable
15,27,2,0.2633488600475658,15,21,4,:indeterminate
15,27,2,0.2795582613645819,15,23,12,:indeterminate
15,27,3,0.29997219622504806,15,20,8,:indeterminate
15,27,3,0.5487309536434665,15,24,19,:indeterminate
15,27,4,0.5593674650675535,15,19,14,:indeterminate
15,28,2,0.28090735318950405,15,22,9,:indeterminate
15,28,2,0.4061206171119502,15,24,13,:indeterminate
15,28,2,0.4905414908279757,15,24,10,:indeterminate
15,28,3,0.13875180082252106,15,22,3,:indeterminate
15,28,3,0.4791907732296558,15,23,8,:indeterminate
15,28,4,0.07482081861371521,15,24,1,:satisfiable
15,28,4,0.45647040119064625,15,16,10,:indeterminate
15,29,2,0.3244119388952746,15,19,9,:indeterminate
15,29,2,0.4705063983008033,15,22,10,:indeterminate
15,29,3,0.4837772630982866,15,25,11,:indeterminate
15,30,3,0.24782924234272166,15,21,6,:indeterminate
15,30,3,0.2956546670666082,15,24,10,:satisfiable
15,30,3,0.3412490305038515,15,25,13,:indeterminate
15,30,4,0.35650378443384373,15,25,11,:indeterminate
15,31,2,0.4456538407912684,15,26,13,:indeterminate
15,31,2,0.4623708435207569,15,26,15,:indeterminate
15,31,3,0.36018655600003885,15,25,9,:indeterminate
15,31,3,0.4626289433256607,15,26,10,:indeterminate
15,31,3,0.47164380840057757,15,24,11,:indeterminate
15,31,4,0.37304836434296545,15,27,13,:indeterminate
15,32,2,0.24754245103348674,15,22,6,:indeterminate
15,32,2,0.31842722857407063,15,24,13,:indeterminate
15,32,2,0.46223265296340293,15,24,10,:indeterminate
15,32,4,0.1078321828167826,15,25,6,:satisfiable
15,33,3,0.39458591535544746,15,26,14,:indeterminate
15,33,4,0.6399655314173393,15,26,17,:satisfiable
15,34,2,0.4093432067625907,15,26,13,:indeterminate
15,34,3,0.5139728303779844,15,30,13,:indeterminate
15,34,4,0.1808731857934456,15,27,8,:indeterminate
15,34,4,0.26149589968818415,15,26,8,:indeterminate
15,35,3,0.31869034105615773,15,26,8,:indeterminate
15,35,3,0.340273727887876,15,29,8,:indeterminate
15,35,4,0.056254641022529896,15,26,0,:satisfiable
15,35,4,0.2094782733074649,15,28,7,:satisfiable
15,36,2,0.3146521794782218,15,29,8,:satisfiable
15,36,2,0.3711590338643484,15,25,13,:indeterminate
15,36,2,0.4358860897153532,15,26,16,:indeterminate
15,37,2,0.0810386103691056,15,21,3,:indeterminate
15,37,2,0.4454198691340636,15,28,15,:indeterminate
15,37,3,0.2675136294592029,15,27,4,:satisfiable
15,37,4,0.10870684628822713,15,21,4,:indeterminate
15,38,4,0.1868569269401793,15,25,8,:indeterminate
15,38,4,0.37320718279594334,15,29,13,:indeterminate
15,41,3,0.47940598284065267,15,29,12,:indeterminate
15,42,4,0.5075794684103813,15,33,19,:indeterminate
16,17,3,0.3839108942740593,16,16,8,:indeterminate
16,18,2,0.5876655557901199,16,17,13,:indeterminate
16,19,4,0.3217839011304097,16,17,7,:indeterminate
16,19,4,0.399901604332005,16,17,6,:indeterminate
16,20,2,0.2388680200915285,16,18,6,:indeterminate
16,20,2,0.5178263127112245,16,19,13,:indeterminate
16,20,4,0.437211666600729,16,18,4,:indeterminate
16,21,3,0.3957809508783107,16,20,8,:indeterminate
16,21,4,0.43494683325660183,16,17,6,:indeterminate
16,22,2,0.22269468261037287,16,17,3,:indeterminate
16,23,4,0.3255883979974473,16,20,8,:indeterminate
16,23,4,0.3818258362722308,16,19,8,:indeterminate
